CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIMFLOOR_TOPOG
12-002410,11.181,0.782,5.73,0.09
12-002417,22.821,3.518,5.7,0.08
12-002427,26.815,1.114,5.68,0.18
12-002442,9.68,4.474,5.62,0.1
12-002453,14.653,4.426,5.6,0
12-002458,26.8,1.765,5.59,0
12-002476,26.846,0.124,5.55,0.09
12-002483,27.774,3.86,5.53,0.07
12-002497,22.443,0.704,5.49,0.53
12-002515,3.088,1.106,5.43,0.52
12-002526,22.411,3.686,5.39,0.37
12-002532,25.357,1.744,5.38,0.05
12-002534,6.673,3.511,5.37,0.16
12-002541,27.3,2.51,5.36,0.46
12-002577,7.892,3.898,5.29,0.05
12-002583,18.638,2.854,5.27,0.05
12-002593,13.34,1.105,5.24,0.64
12-002594,12.139,4.34,5.24,0.54
12-002600,5.772,3.143,5.23,0.07
12-002604,29,2.644,5.22,0
12-002621,26.686,0.259,5.17,0.04
12-002624,16.398,4.655,5.17,0.49
12-002634,26.39,1.288,5.14,0.11
12-002636,24.977,2.682,5.13,0.57
12-002641,29.626,3.285,5.12,0.43
12-002652,19.49,3.387,5.1,0.54
12-002655,2.131,4.684,5.1,0.31
12-002661,7.884,3.455,5.08,0
12-002671,17.426,4.884,5.06,0.54
12-002679,12.051,3.289,5.05,0.19
12-002683,22.629,1.652,5.04,0.51
12-002706,27.465,1.505,4.99,0.46
12-002741,10.523,3.868,4.92,0.05
12-002754,23.412,4.864,4.89,0.41
12-002762,19.016,0.016,4.87,0.05
12-002763,16.388,2.911,4.87,0.6
12-002775,26.712,0.113,4.84,0.07
12-002778,8.834,0.473,4.84,0.3
12-002797,28.213,3.503,4.8,0.45
12-002800,29.802,2.202,4.79,0.05
12-002801,5.489,4.503,4.79,0.18
12-002802,12.006,4.27,4.79,0
12-002807,23.197,3.73,4.77,0.48
12-002808,5.178,0.667,4.77,0.07
12-002812,27.305,0.587,4.75,0.32
12-002833,2.613,1.946,4.72,0.2
12-002845,10.662,3.791,4.7,0.5
12-002851,6.15,3.911,4.69,0.6
12-002854,28.454,0.754,4.68,0.05
12-002859,13.857,4.552,4.68,0.18
12-002860,26.518,0.024,4.68,0.08
12-002896,13.55,2.247,4.62,0.25
12-002899,29.508,4.594,4.61,0.49
12-002900,17.225,0.522,4.61,0.05
12-002921,25.233,3.339,4.57,0.36
12-002924,17.222,2.286,4.57,0.24
12-002951,8.669,4.68,4.52,0.24
12-002962,19.403,3.955,4.51,0.39
12-002964,14.435,0.774,4.5,0
12-002980,12.447,0.471,4.48,0.11
12-002984,25.231,4.755,4.48,0.44
12-002987,11.55,3.03,4.48,0.07
12-002993,21.725,4.958,4.46,0.47
12-002995,28.719,0.68,4.46,0.06
12-003023,26.664,0.178,4.42,0
12-003037,29.844,2.394,4.39,0.04
12-003044,13.336,3.752,4.37,0.04
12-003046,6.259,1.298,4.37,0
12-003048,8.884,1.474,4.36,0.21
12-003049,0.503,0.609,4.36,0
12-003053,26.94,2.774,4.35,0
12-003055,9.032,1.083,4.35,0.08
12-003059,23.019,1.208,4.34,0.39
12-003065,13.517,4.71,4.33,0.45
12-003066,21.059,1.011,4.33,0
12-003070,25.902,2.083,4.32,0.45
12-003075,19.377,4.786,4.31,0.55
12-003081,27.497,4.078,4.3,0.1
12-003086,20.602,2.692,4.28,0.14
12-003088,14.005,1.291,4.28,0.33
12-003111,19.638,2.68,4.25,0.21
12-003124,27.826,1.451,4.23,0.51
12-003140,19.563,3.951,4.21,0.21
12-003153,19.58,2.432,4.19,0.49
12-003161,10.876,4.363,4.18,0
12-003162,25.301,4.218,4.18,0.33
12-003164,16.285,4.497,4.18,0.32
12-003171,26.658,1.899,4.17,0.45
12-003198,11.745,3.828,4.12,0.37
12-003205,28.267,1.214,4.12,0.5
12-003217,10.88,2.363,4.1,0.07
12-003226,13.197,2.099,4.09,0
12-003237,15.079,4.371,4.07,0
12-003244,13.333,4.76,4.06,0.4
12-003247,10.986,4.124,4.06,0.19
12-003248,16.176,1.368,4.05,0.15
12-003262,4.481,0.215,4.04,0.07
12-003264,22.313,2.437,4.03,0.15
12-003272,4.803,4.936,4.02,0.19
12-003282,6.383,0.211,4,0.06
12-003291,4.766,1.33,3.99,0.07
12-003292,15.874,4.769,3.98,0.11
12-003298,18.075,4.641,3.98,0.31
12-003311,12.45,4.607,3.95,0.03
12-003312,17.952,4.498,3.95,0.29
12-003317,15.56,2.963,3.95,0.64
12-003318,23.341,3.413,3.95,0
12-003329,28.566,0.481,3.94,0.56
12-003341,1.366,4.164,3.91,0.51
12-003346,3.071,3.482,3.9,0.27
12-003361,18.212,1.039,3.88,0
12-003364,26.697,3.908,3.88,0.16
12-003374,26.701,0.918,3.87,0.38
12-003381,10.834,1.088,3.86,0
12-003411,5.937,1.31,3.83,0.22
12-003416,12.713,3.898,3.83,0
12-003420,17.965,1.413,3.82,0.13
12-003436,13.464,4.541,3.8,0.02
12-003440,12.032,1.107,3.8,0.07
12-003443,23.352,1.45,3.79,0.44
12-003451,27.88,4.891,3.79,0.26
12-003454,13.156,3.454,3.78,0
12-003469,11.46,3.095,3.76,0
12-003477,18.316,4.239,3.75,0.09
12-003479,12.64,2.573,3.74,0.4
12-003481,13.294,4.385,3.74,0
12-003489,18.613,3.655,3.73,0.09
12-003502,24.601,2.867,3.71,0.28
12-003510,7.058,2.827,3.71,0.53
12-003517,22.459,1.117,3.7,0
12-003518,7.392,1.33,3.69,0
12-003521,21.151,0.111,3.69,0.33
12-003526,5.64,3.109,3.68,0
12-003532,13.336,4.413,3.67,0.02
12-003533,28.365,1.686,3.67,0.56
12-003569,3.49,2.418,3.64,0.17
12-003574,26.474,4.928,3.63,0.45
12-003584,9.414,3.157,3.62,0.32
12-003585,4.516,1.697,3.62,0.07
12-003586,23.084,0.59,3.62,0.31
12-003597,8.925,3.727,3.6,0
12-003611,21.506,2.721,3.59,0
12-003613,3.783,2.295,3.59,0
12-003621,27.491,2.738,3.59,0.39
12-003625,27.476,4.275,3.58,0.1
12-003629,20.724,4.464,3.58,0.04
12-003632,19.042,1.594,3.58,0
12-003642,2.661,2.837,3.57,0
12-003651,16.254,0.071,3.56,0.45
12-003655,26.475,0.959,3.56,0.31
12-003661,28.593,1.228,3.55,0.32
12-003670,28.278,2.939,3.55,0
12-003709,4.68,4.715,3.5,0
12-003713,18.732,3.824,3.5,0.38
12-003722,28.285,4.872,3.49,0.23
12-003724,9.18,4.048,3.49,0.06
12-003725,19.209,0.702,3.49,0.18
12-003731,17.743,1.996,3.48,0
12-003735,7.077,4.794,3.48,0.08
12-003739,26.959,4.06,3.47,0.24
12-003747,5.417,3.829,3.47,0.12
12-003768,25.572,3.407,3.45,0.17
12-003787,20.892,4.133,3.43,0.24
12-003790,26.308,4.902,3.42,0.43
12-003800,19.57,4.954,3.41,0.37
12-003802,20.737,4.931,3.41,0
12-003808,15.938,0.408,3.41,0.27
12-003812,4.543,1.23,3.41,0.2
12-003813,7.779,4.711,3.41,0
12-003832,18.297,0.896,3.39,0.14
12-003857,17.047,0.469,3.37,0
12-003874,12.568,4.2,3.36,0.21
12-003876,3.731,4.664,3.36,0.17
12-003878,28.393,2.262,3.36,0.39
12-003887,29.924,0.273,3.35,0.15
12-003900,5.689,4.33,3.34,0
12-003902,1.878,1.521,3.34,0.27
12-003903,7.044,0.113,3.34,0
12-003917,5.134,4.677,3.33,0
12-003925,21.706,1.164,3.32,0.17
12-003932,24.731,0.338,3.31,0.33
12-003936,29.147,4.461,3.31,0.25
12-003962,9.785,0.641,3.29,0
12-003966,8.369,3.143,3.28,0.36
12-003974,24.907,2.569,3.28,0
12-003979,29.254,4.553,3.28,0.41
12-004005,15.436,3.176,3.26,0.33
12-004014,29.736,4.409,3.25,0.3
12-004029,9.063,0.107,3.24,0.2
12-004031,4.992,4.775,3.24,0
12-004041,5.417,4.663,3.23,0.13
12-004049,15.817,4.81,3.22,0.26
12-004054,13.69,0.723,3.22,0.24
12-004057,23.219,2.41,3.21,0.44
12-004087,18.346,1.346,3.19,0.14
12-004089,13.015,2.919,3.19,0.05
12-004092,9.609,2.464,3.19,0.09
12-004096,16.368,4.513,3.19,0.1
12-004105,16.579,1.324,3.18,0.09
12-004118,1.233,0.874,3.17,0
12-004136,15.15,3.368,3.16,0.27
12-004147,14.672,1.635,3.15,0.35
12-004162,9.126,3.262,3.14,0.06
12-004190,2.216,2.054,3.12,0.34
12-004211,16.739,0.231,3.11,0.04
12-004220,19.032,0.313,3.11,0.28
12-004227,0.335,0.73,3.1,0
12-004246,19.985,2.022,3.09,0.09
12-004247,8.188,2.787,3.09,0.31
12-004249,22.279,1.078,3.09,0.35
12-004259,4.135,4.472,3.08,0
12-004260,5.63,1.448,3.08,0
12-004261,4.924,4.755,3.08,0.1
12-004265,3.429,4.788,3.08,0
12-004270,27.863,2.604,3.08,0
12-004272,2.106,0.795,3.07,0
12-004291,4.577,4.684,3.06,0.13
12-004297,27.815,2.655,3.05,0.19
12-004311,9.368,0.147,3.05,0.12
12-004317,9.67,0.921,3.04,0
12-004330,24.666,0.97,3.04,0.41
12-004331,7.651,0.725,3.03,0
12-004339,15.572,0.695,3.03,0.14
12-004344,6.843,2.118,3.02,0.18
12-004346,29.56,1.961,3.02,0.25
12-004370,16.994,0.142,3.01,0.06
12-004381,21.745,3.434,3.01,0.07
12-004389,14.474,2.522,3,0.12
12-004393,21.992,3.026,3,0.19
12-004398,3.463,1.91,2.99,0
12-004404,29.283,4.35,2.99,0.28
12-004406,22.17,1.312,2.99,0.38
12-004407,18.899,1.846,2.99,0
12-004414,19.591,3.952,2.99,0
12-004427,9.607,1.131,2.98,0
12-004428,10.419,3.773,2.98,0.27
12-004434,18.774,1.749,2.97,0.1
12-004439,29.244,2.945,2.97,0.24
12-004448,17.395,3.727,2.96,0
12-004468,12.71,4.575,2.95,0
12-004486,18.762,4.776,2.94,0.21
12-004489,3.385,2.91,2.94,0
12-004495,14.972,4.764,2.94,0.04
12-004505,9.589,4.914,2.93,0.22
12-004521,8.272,4.848,2.92,0
12-004535,2.217,3.535,2.91,0
12-004536,8.213,2.563,2.91,0.09
12-004541,16.574,0.849,2.91,0.34
12-004549,14.556,4.223,2.91,0.07
12-004572,21.915,3.862,2.9,0.07
12-004573,18.632,0.275,2.9,0.21
12-004574,22.857,3.576,2.9,0.3
12-004589,17.654,0.174,2.89,0.06
12-004597,9.89,4.722,2.88,0
12-004603,25.713,2.332,2.88,0.13
12-004610,4.919,4.91,2.88,0.16
12-004619,18.352,2.025,2.87,0.11
12-004621,8.436,2.515,2.87,0
12-004625,15.115,0.843,2.87,0
12-004628,15.609,0.151,2.86,0
12-004631,13.372,1.837,2.86,0.11
12-004673,24.688,1.193,2.84,0.15
12-004678,7.613,2.532,2.84,0.04
12-004685,11.886,2.188,2.83,0.28
12-004703,17.576,0.308,2.82,0.26
12-004707,25.221,1.635,2.82,0.25
12-004713,14.061,1.311,2.81,0
12-004718,15.001,0.237,2.81,0
12-004730,5.727,4.7,2.81,0
12-004735,13.68,0.332,2.8,0
12-004753,6.983,3.105,2.79,0.09
12-004797,25.199,4.902,2.77,0.33
12-004817,20.091,2.12,2.76,0.12
12-004822,0.816,0.425,2.76,0
12-004832,21.676,1.792,2.75,0.25
12-004833,6.158,3.442,2.75,0.07
12-004834,0.018,4.396,2.75,0.18
12-004837,5.045,2.792,2.75,0
12-004862,14.905,0.247,2.74,0
12-004868,14.725,0.742,2.73,0.13
12-004889,21.976,4.123,2.73,0.14
12-004892,12.794,4.57,2.72,0.08
12-004895,4.628,4.692,2.72,0
12-004896,7.508,3.273,2.72,0.18
12-004903,7.737,0.756,2.72,0
12-004904,2.029,1.572,2.72,0.23
12-004921,21.57,2.192,2.71,0.32
12-004943,18.547,4.118,2.7,0.22
12-004948,5.325,0.87,2.7,0
12-004954,14.117,0.799,2.7,0.21
12-004956,5.116,4.626,2.7,0
12-004985,7.213,1.554,2.69,0.32
12-004994,16.317,1.314,2.68,0
12-004999,7.039,4.746,2.68,0.2
12-005003,22.908,2.422,2.68,0
12-005016,6.957,4.587,2.68,0.07
12-005021,17.948,4.217,2.67,0.1
12-005025,18.646,2.62,2.67,0.3
12-005029,18.799,2.332,2.67,0
12-005044,19.838,3.536,2.66,0.27
12-005073,12.346,4.591,2.65,0.07
12-005081,14.692,2.204,2.65,0
12-005093,17.469,1.619,2.64,0.22
12-005095,6.443,0.427,2.64,0.05
12-005104,28.645,4.259,2.64,0.3
12-005120,6.541,0.687,2.63,0
12-005127,26.785,4.942,2.63,0
12-005131,15.653,1.535,2.63,0
12-005135,11.832,2.161,2.62,0.05
12-005160,17.023,0.531,2.62,0
12-005169,15.362,4.945,2.61,0
12-005173,6.112,4.916,2.61,0
12-005180,12.946,4.936,2.61,0.22
12-005190,9.522,1.622,2.6,0.09
12-005215,7.847,0.739,2.59,0.06
12-005217,3.043,3.642,2.59,0.11
12-005218,10.244,2.868,2.59,0
12-005221,17.033,0.067,2.59,0.1
12-005230,5.011,4.847,2.58,0
12-005234,2.594,0.276,2.58,0
12-005239,8.522,3.85,2.58,0.06
12-005249,19.925,2.929,2.58,0.17
12-005255,22.619,0.055,2.58,0.1
12-005262,21.288,1.599,2.57,0
12-005265,18.473,1.046,2.57,0.16
12-005269,3.944,4.977,2.57,0
12-005278,27.005,0.329,2.57,0.27
12-005291,9.34,4.06,2.56,0.28
12-005311,7.758,2.129,2.55,0
12-005317,28.457,3.478,2.55,0.2
12-005319,5.361,4.635,2.55,0
12-005323,21.654,3.04,2.55,0.1
12-005335,17.594,0.551,2.55,0
12-005341,25.298,3.891,2.54,0.26
12-005342,22.567,0.479,2.54,0.07
12-005344,29.823,1.403,2.54,0.11
12-005347,23.83,0.913,2.54,0
